train_loss,train_acc,epoch,step,val_loss,val_acc
0.9090253710746765,0.78125,0,49,,
0.41058018803596497,0.90625,0,99,,
0.5976100564002991,0.875,0,149,,
0.17072425782680511,1.0,0,199,,
0.3453429639339447,0.875,0,249,,
0.25220349431037903,0.875,0,299,,
0.3041923940181732,0.9375,0,349,,
0.31337568163871765,0.875,0,399,,
0.4184952676296234,0.84375,0,449,,
0.2199346274137497,0.90625,0,499,,
0.30460208654403687,0.90625,0,549,,
0.32102659344673157,0.875,0,599,,
0.17122125625610352,0.9375,0,649,,
0.3737007677555084,0.90625,0,699,,
0.3119252324104309,0.90625,0,749,,
0.13353441655635834,0.9375,0,799,,
0.24286232888698578,0.9375,0,849,,
0.24022932350635529,0.9375,0,899,,
0.3447268605232239,0.9375,0,949,,
0.10080735385417938,1.0,0,999,,
0.18590566515922546,0.9375,0,1049,,
0.13724663853645325,0.9375,0,1099,,
0.29582616686820984,0.90625,0,1149,,
0.08271562308073044,1.0,0,1199,,
0.1676042675971985,0.9375,0,1249,,
0.06159648299217224,1.0,0,1299,,
0.33502498269081116,0.90625,0,1349,,
0.11577508598566055,0.96875,0,1399,,
0.074128158390522,0.96875,0,1449,,
0.10719525068998337,0.9375,0,1499,,
0.06682708859443665,0.96875,0,1549,,
0.24376937747001648,0.9375,0,1599,,
0.11690351366996765,0.96875,0,1649,,
0.21684956550598145,0.9375,0,1699,,
0.05766196921467781,1.0,0,1749,,
0.05995536595582962,0.96875,0,1799,,
0.1851024627685547,0.90625,0,1849,,
,,0,1874,0.14693425595760345,0.9553999900817871
0.10671879351139069,0.9375,1,1899,,
0.1869528442621231,0.875,1,1949,,
0.328416645526886,0.90625,1,1999,,
0.05825400352478027,0.96875,1,2049,,
0.05583231523633003,0.96875,1,2099,,
0.07288339734077454,1.0,1,2149,,
0.042422931641340256,1.0,1,2199,,
0.09654577821493149,0.96875,1,2249,,
0.2652583420276642,0.96875,1,2299,,
0.09905227273702621,0.96875,1,2349,,
0.012447460554540157,1.0,1,2399,,
0.14097152650356293,0.9375,1,2449,,
0.06675900518894196,1.0,1,2499,,
0.14737801253795624,0.90625,1,2549,,
0.1863393932580948,0.96875,1,2599,,
0.1793856918811798,0.9375,1,2649,,
0.27975183725357056,0.90625,1,2699,,
0.10754349827766418,0.96875,1,2749,,
0.2638970613479614,0.90625,1,2799,,
0.20716162025928497,0.9375,1,2849,,
0.21232424676418304,0.9375,1,2899,,
0.15582242608070374,0.96875,1,2949,,
0.09036515653133392,0.9375,1,2999,,
0.3382115364074707,0.90625,1,3049,,
0.10092458128929138,0.96875,1,3099,,
0.0901355892419815,0.96875,1,3149,,
0.13296060264110565,0.9375,1,3199,,
0.1942148059606552,0.90625,1,3249,,
0.01799539476633072,1.0,1,3299,,
0.2727999687194824,0.96875,1,3349,,
0.060980070382356644,1.0,1,3399,,
0.1670045405626297,0.90625,1,3449,,
0.08666828274726868,0.9375,1,3499,,
0.12332016229629517,0.96875,1,3549,,
0.24069036543369293,0.9375,1,3599,,
0.13044196367263794,0.9375,1,3649,,
0.01601238362491131,1.0,1,3699,,
0.10514476895332336,0.96875,1,3749,,
,,1,3749,0.10550666600465775,0.9666000008583069
